-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 02/20/2024 through 03/20/2024 in LST
Location: latitude  3.275   longitude -77.475 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 79.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,ALLSKY_SFC_SW_DWN
2024,51,27.17,15.25
2024,52,27.02,11.31
2024,53,26.99,24.27
2024,54,27.12,23.7
2024,55,27.24,18.54
2024,56,27.24,23.32
2024,57,27.1,13.63
2024,58,27.64,19.88
2024,59,27.36,17.43
2024,60,26.65,14.06
2024,61,26.05,8.7
2024,62,26.06,19.77
2024,63,26.27,18.19
2024,64,26.61,21.9
2024,65,26.74,21.71
2024,66,26.79,20.78
2024,67,26.63,16.5
2024,68,26.32,14.73
2024,69,26.77,16.63
2024,70,27.1,15.96
2024,71,27.37,12.54
2024,72,27.12,21.99
2024,73,27.04,17.71
2024,74,26.86,19.69
2024,75,26.79,17.69
2024,76,26.95,14.18
2024,77,26.8,19.88
2024,78,26.88,20.48
2024,79,26.8,12.09
2024,80,26.59,19.07
